Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 15, 2018",0.560062,0.560062,0.534301,0.537707,241685000,21979800000
"Jun 14, 2018",0.535435,0.57059,0.526614,0.561306,379825000,21012800000
"Jun 13, 2018",0.562845,0.564642,0.517036,0.534663,359865000,22088500000
"Jun 12, 2018",0.602136,0.602139,0.556653,0.562933,309544000,23630400000
"Jun 11, 2018",0.586198,0.604066,0.568721,0.604066,336547000,23004900000
"Jun 10, 2018",0.659514,0.659514,0.561237,0.588126,492555000,25882200000
"Jun 09, 2018",0.674778,0.678893,0.659755,0.659755,175990000,26481200000
"Jun 08, 2018",0.677586,0.679668,0.660804,0.674343,221887000,26591400000
"Jun 07, 2018",0.675313,0.688223,0.673146,0.678128,244568000,26500300000
"Jun 06, 2018",0.677901,0.681668,0.660059,0.674797,273966000,26601900000
"Jun 05, 2018",0.661898,0.68384,0.641428,0.677015,386328000,25973900000
"Jun 04, 2018",0.692466,0.703623,0.644603,0.661425,558131000,27173400000
"Jun 03, 2018",0.643412,0.673594,0.640891,0.671205,327804000,25248500000
"Jun 02, 2018",0.623462,0.648982,0.619477,0.643451,315206000,24465600000
"Jun 01, 2018",0.612893,0.624824,0.609069,0.623364,263088000,24019200000
"May 31, 2018",0.603452,0.621636,0.596089,0.612622,283328000,23649300000
"May 30, 2018",0.603769,0.627679,0.590058,0.605817,320605000,23661700000
"May 29, 2018",0.556084,0.610749,0.551635,0.601241,380744000,21792900000
"May 28, 2018",0.608368,0.609781,0.552299,0.552299,327903000,23841900000
"May 27, 2018",0.61204,0.612884,0.603328,0.607881,186963000,23985800000
"May 26, 2018",0.610118,0.626494,0.6038,0.612708,213242000,23910500000
"May 25, 2018",0.632924,0.636208,0.603334,0.611001,289816000,24804300000
"May 24, 2018",0.599207,0.640258,0.589272,0.631997,440533000,23482900000
"May 23, 2018",0.648634,0.649121,0.586997,0.599594,482481000,25419900000
"May 22, 2018",0.682151,0.682933,0.644588,0.645567,234713000,26733500000
"May 21, 2018",0.700441,0.703051,0.676203,0.681587,250481000,27450300000
"May 20, 2018",0.677258,0.704614,0.673348,0.700244,275614000,26541700000
"May 19, 2018",0.680759,0.69045,0.665896,0.676713,249039000,26678900000
"May 18, 2018",0.6654,0.685625,0.65339,0.680294,344944000,26077000000
"May 17, 2018",0.713388,0.714618,0.661213,0.66731,337999000,27957600000
"May 16, 2018",0.69592,0.714081,0.669438,0.714081,429642000,27273100000
"May 15, 2018",0.738938,0.752269,0.692667,0.698588,422980000,28958900000
"May 14, 2018",0.744701,0.756983,0.707693,0.740898,613462000,29184800000
"May 13, 2018",0.698085,0.758977,0.680971,0.745748,532488000,27357900000
"May 12, 2018",0.685772,0.714918,0.639771,0.696735,596685000,26875400000
"May 11, 2018",0.756578,0.761326,0.656026,0.684948,991409000,29641400000
"May 10, 2018",0.803212,0.808914,0.757342,0.758237,399324000,31468500000
"May 09, 2018",0.813393,0.819969,0.7703,0.802043,611575000,31867300000
"May 08, 2018",0.833086,0.846992,0.803568,0.81397,465041000,32638900000
"May 07, 2018",0.871214,0.871236,0.812933,0.832641,602535000,34132600000
"May 06, 2018",0.904235,0.918675,0.855972,0.871424,640057000,35426400000
"May 05, 2018",0.895562,0.922354,0.895562,0.905103,668800000,35086600000
"May 04, 2018",0.881536,0.927695,0.866922,0.895442,1007610000,34537000000
"May 03, 2018",0.85898,0.892916,0.847319,0.884466,725229000,33632400000
"May 02, 2018",0.839355,0.86428,0.831713,0.859094,544426000,32864000000
"May 01, 2018",0.838355,0.842069,0.797826,0.841407,630809000,32818400000
"Apr 30, 2018",0.871404,0.876788,0.831208,0.837938,575364000,34112200000
"Apr 29, 2018",0.864399,0.904945,0.83448,0.872778,896314000,33837900000
"Apr 28, 2018",0.812063,0.887591,0.812063,0.863804,788719000,31789200000
"Apr 27, 2018",0.851139,0.859641,0.813885,0.813885,673793000,33318900000
"Apr 26, 2018",0.801774,0.852414,0.771787,0.852414,1028590000,31386400000
"Apr 25, 2018",0.932771,0.932771,0.779231,0.800607,1614050000,36514500000
