Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 15, 2018",520.48,521.31,487.47,491,1808270000,52088900000
"Jun 14, 2018",478.38,523.55,467.47,519.74,2458650000,47865900000
"Jun 13, 2018",498.02,501.91,459,477.49,2080130000,49820500000
"Jun 12, 2018",532.71,538.96,491.24,496.84,1932760000,53280100000
"Jun 11, 2018",524.86,536.86,515.27,533.28,1982120000,52483700000
"Jun 10, 2018",594.35,594.35,511.89,526.48,2234880000,59420100000
"Jun 09, 2018",600.91,608.58,597.56,597.56,1519310000,60063400000
"Jun 08, 2018",605.44,608.81,595.59,601.08,1637780000,60504500000
"Jun 07, 2018",607.69,616.14,601.69,605.19,1880140000,60716100000
"Jun 06, 2018",610.26,611.64,596.4,607.12,1756530000,60960700000
"Jun 05, 2018",593.41,611.33,580.98,609.3,1844270000,59264900000
"Jun 04, 2018",619.44,623.43,583.75,592.99,1903430000,61851800000
"Jun 03, 2018",591.26,624.51,591.26,618.33,1832550000,59026100000
"Jun 02, 2018",580.43,597.08,577.32,591.81,1880390000,57932900000
"Jun 01, 2018",578.67,589.09,567.67,580.04,1945890000,57745700000
"May 31, 2018",558.5,585.54,557.07,577.65,1985040000,55720800000
"May 30, 2018",566.83,583.14,545.43,559.59,2053970000,56540500000
"May 29, 2018",516.15,572.26,516.15,565.39,2330820000,51474400000
"May 28, 2018",573.05,576.05,512.55,516.04,2356900000,57136700000
"May 27, 2018",588.52,590.33,562.87,572.67,1788790000,58667600000
"May 26, 2018",587.43,606.18,583.51,587.28,1694300000,58546400000
"May 25, 2018",602.14,617.19,575.62,586.73,2110920000,60000400000
"May 24, 2018",584.54,610.82,557.21,601.76,2791100000,58234400000
"May 23, 2018",646.67,651.64,572.95,583.59,2995430000,64411000000
"May 22, 2018",700.18,700.98,644.03,647.74,2230470000,69726300000
"May 21, 2018",717.19,719.28,692.49,699.22,2005170000,71405800000
"May 20, 2018",697.92,723.75,692.67,715.37,2156910000,69472800000
"May 19, 2018",695.07,715.58,686.79,696.53,2021550000,69174600000
"May 18, 2018",672.1,695.03,663.81,694.37,2305740000,66874700000
"May 17, 2018",708.72,718.83,668.83,672.66,2350620000,70503400000
"May 16, 2018",708.09,710.2,682.54,707.05,2476130000,70426200000
"May 15, 2018",731.14,739.05,701,708.87,2523070000,72704300000
"May 14, 2018",732.73,742.17,695.79,730.55,3005110000,72847500000
"May 13, 2018",687.18,741.31,675.32,733.5,2362500000,68304000000
"May 12, 2018",679.88,691.41,644.07,686.05,2668480000,67564600000
"May 11, 2018",727.01,736.98,669.83,679.59,3290080000,72233800000
"May 10, 2018",752.58,766.75,726.66,727.28,2748950000,74758700000
"May 09, 2018",752.9,759.53,718.47,752.28,2877870000,74775300000
"May 08, 2018",755.01,774.25,728.13,752.86,2920490000,74969200000
"May 07, 2018",793.34,795.76,710.18,753.73,4316120000,78758700000
"May 06, 2018",816.09,835.06,764.88,792.31,3105570000,81000200000
"May 05, 2018",784.58,827.46,784.24,816.12,3035040000,77857000000
"May 04, 2018",776.78,803.75,762.63,785.62,3533410000,77066200000
"May 03, 2018",686.59,784.34,686.59,779.54,4210940000,68104600000
"May 02, 2018",674.08,688.84,667.42,687.15,2822270000,66849100000
"May 01, 2018",670.46,674.4,637.54,673.61,2678960000,66477200000
"Apr 30, 2018",689.76,694.44,666.12,669.92,2853100000,68376400000
"Apr 29, 2018",683.91,697.76,670.51,688.88,2740560000,67782400000
"Apr 28, 2018",644.65,691.44,644.65,683.68,2496660000,63877700000
"Apr 27, 2018",662.11,684.87,647.03,647.03,2598130000,65594600000
"Apr 26, 2018",618.08,663.18,604.01,662.81,2984010000,61219700000
"Apr 25, 2018",707.06,707.06,600.21,615.42,4216140000,70018900000
"Apr 24, 2018",643.4,708.88,643.4,708.16,3581860000,63701200000
"Apr 23, 2018",621.2,646.7,621.04,642.55,2386830000,61490600000
"Apr 22, 2018",606.12,640.77,593.87,621.86,2426270000,59985500000
"Apr 21, 2018",616,621.89,578.55,605.4,2612460000,60951100000
"Apr 20, 2018",567.99,618.72,560.28,615.72,2849470000,56188700000
