,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17097175.0,1,1529177973.0,21000000.0,Bitcoin,111901694262.0,-0.1,-0.42,-13.72,6545.04,3390700000.0,1,BTC,17097175.0,bitcoin
302,100116003.0,1027,1529177960.0,,Ethereum,49964793703.0,-0.46,-0.09,-16.8,499.069,1401040000.0,2,ETH,100116003.0,ethereum
26,39245304677.0,52,1529177942.0,100000000000.0,Ripple,21009973859.0,-0.34,-2.04,-19.39,0.53535,221694000.0,3,XRP,99991944394.0,ripple
755,17187063.0,1831,1529177963.0,21000000.0,Bitcoin Cash,14708138102.0,-0.42,-1.43,-22.54,855.768,334742000.0,4,BCH,17187063.0,bitcoin-cash
703,896149492.0,1765,1529177962.0,1000000000.0,EOS,9565499679.0,-0.21,-2.02,-25.17,10.674,735308000.0,5,EOS,900000000.0,eos
1,57006971.0,2,1529177941.0,84000000.0,Litecoin,5522088541.0,-0.48,-1.48,-18.45,96.8669,265106000.0,6,LTC,57006971.0,litecoin
175,18605251160.0,512,1529177945.0,,Stellar,4338074781.0,-0.4,-2.34,-17.71,0.233164,35391700.0,7,XLM,104025824192.0,stellar
893,25927070538.0,2010,1529177968.0,45000000000.0,Cardano,4215793524.0,-0.11,-2.14,-20.01,0.162602,46239600.0,8,ADA,31112483745.0,cardano
668,2779530283.0,1720,1529177960.0,2779530283.0,IOTA,3348972652.0,-0.03,-1.57,-27.18,1.20487,56276300.0,9,MIOTA,2779530283.0,iota
847,65748111645.0,1958,1529177966.0,,TRON,2824473128.0,-0.26,-2.35,-25.37,0.042959,144443000.0,10,TRX,100000000000.0,tron
244,2607140346.0,825,1529177948.0,,Tether,2620801761.0,0.15,0.1,0.18,1.00524,1954350000.0,11,USDT,2830109502.0,tether
449,65000000.0,1376,1529177954.0,100000000.0,NEO,2488993000.0,-0.57,-2.52,-26.17,38.2922,69771300.0,12,NEO,100000000.0,neo
70,8137023.0,131,1529177943.0,18900000.0,Dash,2164993337.0,-0.08,2.16,-11.55,266.067,127446000.0,13,DASH,8137023.0,dash
130,16137483.0,328,1529177945.0,,Monero,2053284881.0,-0.3,-0.4,-18.71,127.237,37940400.0,14,XMR,16137483.0,monero
763,114041290.0,1839,1529177964.0,,Binance Coin,1809265068.0,0.71,2.41,-1.42,15.865,82536100.0,15,BNB,194972068.0,binance-coin
257,8999999999.0,873,1529177950.0,,NEM,1760796000.0,-0.35,-0.57,-21.68,0.195644,9226160.0,16,XEM,8999999999.0,nem
809,547495525.0,1904,1529177965.0,,VeChain,1604703910.0,-0.25,0.01,-24.94,2.93099,94917600.0,17,VEN,873378637.0,vechain
426,102341074.0,1321,1529177953.0,,Ethereum Classic,1486944166.0,-0.09,4.26,-4.21,14.5293,233101000.0,18,ETC,102341074.0,ethereum-classic
639,88664516.0,1684,1529177960.0,,Qtum,953542537.0,-0.1,-0.76,-19.27,10.7545,102498000.0,19,QTUM,100664516.0,qtum
737,102042552.0,1808,1529177962.0,,OmiseGO,925869828.0,-0.38,-1.24,-16.33,9.07337,22118700.0,20,OMG,140245398.0,omisego
1388,151292175.0,2566,1529177983.0,,Ontology,919541736.0,-0.8,-0.58,-25.12,6.07792,48516400.0,21,ONT,1000000000.0,ontology
481,4152594.0,1437,1529177955.0,,Zcash,808638734.0,0.15,-2.16,-16.89,194.731,50781100.0,22,ZEC,4152594.0,zcash
968,387231340.0,2099,1529177971.0,,ICON,783976954.0,-0.54,-5.77,-18.82,2.02457,57509900.0,23,ICX,400228740.0,icon
146,183890481254.0,372,1529177956.0,184470000000.0,Bytecoin,773296252.0,-0.8,-4.06,-26.5,0.0042052,5553700.0,24,BCN,183890481254.0,bytecoin-bcn
373,107012230.0,1214,1529177951.0,,Lisk,704366272.0,-0.45,-1.05,-21.6,6.58211,8805670.0,25,LSK,122259244.0,lisk
353,7145743.0,1168,1529177950.0,21000000.0,Decred,643389115.0,-0.33,-3.29,-14.08,90.0381,5463430.0,27,DCR,7565743.0,decred
1292,7575893444.0,2469,1529177980.0,,Zilliqa,643330477.0,-0.0,-4.97,-30.94,0.0849181,23046900.0,27,ZIL,12600000000.0,zilliqa
652,233020472.0,1700,1529177961.0,,Aeternity,609679424.0,-0.05,-1.55,-25.0,2.61642,6241350.0,28,AE,273685830.0,aeternity
783,1002499275.0,1866,1529177964.0,,Bytom,577131815.0,-0.1,-0.44,-7.72,0.575693,80957600.0,29,BTM,1407000000.0,bytom
956,17069786.0,2083,1529177970.0,21000000.0,Bitcoin Gold,547436575.0,-3.05,-3.12,-26.39,32.0705,10619000.0,30,BTG,17169786.0,bitcoin-gold
