,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17112862.0,1,1529852076.0,21000000.0,Bitcoin,101781655932.0,0.1,-2.9,-9.11,5947.67,3707140000.0,1,BTC,17112862.0,bitcoin
295,100275889.0,1027,1529852060.0,,Ethereum,44309307996.0,-0.33,-6.19,-12.07,441.874,2020110000.0,2,ETH,100275889.0,ethereum
26,39245304677.0,52,1529852042.0,100000000000.0,Ripple,18194908154.0,-0.58,-4.75,-12.72,0.46362,292675000.0,3,XRP,99991944394.0,ripple
715,17200950.0,1831,1529852062.0,21000000.0,Bitcoin Cash,12118189682.0,0.71,-6.6,-17.54,704.507,457273000.0,4,BCH,17200950.0,bitcoin-cash
666,896149492.0,1765,1529852061.0,1000000000.0,EOS,6594710344.0,-0.12,-11.31,-30.44,7.35894,938019000.0,5,EOS,900000000.0,eos
1,57118320.0,2,1529852041.0,84000000.0,Litecoin,4417833589.0,-0.66,-6.61,-20.18,77.3453,420681000.0,6,LTC,57118320.0,litecoin
172,18759618661.0,512,1529852045.0,,Stellar,3525307539.0,0.43,-6.06,-19.16,0.18792,41835900.0,7,XLM,104045664101.0,stellar
852,25927070538.0,2010,1529852070.0,45000000000.0,Cardano,3260303193.0,-0.15,-7.75,-22.81,0.125749,54010600.0,8,ADA,31112483745.0,cardano
807,65748111645.0,1958,1529852067.0,,TRON,2678801612.0,-0.24,-6.5,-5.42,0.0407434,178065000.0,9,TRX,100000000000.0,tron
241,2607140346.0,825,1529852049.0,,Tether,2610633914.0,-0.03,-0.11,-0.19,1.00134,3207730000.0,10,USDT,2830109502.0,tether
632,2779530283.0,1720,1529852060.0,2779530283.0,IOTA,2609089486.0,-0.67,-6.11,-20.66,0.93868,57049100.0,11,MIOTA,2779530283.0,iota
427,65000000.0,1376,1529852056.0,100000000.0,NEO,1986218000.0,-0.51,-8.78,-20.72,30.5572,75207800.0,12,NEO,100000000.0,neo
70,8151289.0,131,1529852043.0,18900000.0,Dash,1907140740.0,-0.11,-4.12,-12.63,233.968,61401000.0,13,DASH,8151289.0,dash
130,16162199.0,328,1529852045.0,,Monero,1828962917.0,-0.34,-3.47,-9.19,113.163,34597900.0,14,XMR,16162199.0,monero
723,114041290.0,1839,1529852064.0,,Binance Coin,1609373494.0,-0.53,-10.25,-15.92,14.1122,89909200.0,15,BNB,194972068.0,binance-coin
409,102531943.0,1321,1529852053.0,,Ethereum Classic,1418426899.0,0.41,-5.59,-3.77,13.834,210321000.0,16,ETC,102531943.0,ethereum-classic
252,8999999999.0,873,1529852047.0,,NEM,1331406000.0,0.19,-9.75,-24.8,0.147934,16437900.0,17,XEM,8999999999.0,nem
769,547497243.0,1904,1529852065.0,,VeChain,1307883315.0,-1.15,-13.58,-22.91,2.38884,36611400.0,18,VEN,873378637.0,vechain
699,102042552.0,1808,1529852062.0,,OmiseGO,751179102.0,-0.28,-8.42,-19.63,7.36143,19888400.0,19,OMG,140245398.0,omisego
603,88664516.0,1684,1529852059.0,,Qtum,698630281.0,-1.3,-10.31,-26.5,7.87948,70608200.0,20,QTUM,100664516.0,qtum
1341,151292175.0,2566,1529852081.0,,Ontology,697366151.0,0.96,-8.37,-25.38,4.6094,82007400.0,21,ONT,1000000000.0,ontology
457,4208431.0,1437,1529852055.0,,Zcash,669565620.0,-0.21,-5.7,-17.19,159.101,38793300.0,22,ZEC,4208431.0,zcash
927,387431340.0,2099,1529852070.0,,ICON,604311530.0,-0.29,-9.63,-23.6,1.55979,32852900.0,23,ICX,400228740.0,icon
361,107282028.0,1214,1529852051.0,,Lisk,572076051.0,0.58,-3.97,-16.89,5.33245,7413280.0,24,LSK,122528476.0,lisk
342,7145743.0,1168,1529852051.0,21000000.0,Decred,483419512.0,0.15,-8.67,-26.58,67.6514,8297290.0,25,DCR,7565743.0,decred
1245,7575893444.0,2469,1529852078.0,,Zilliqa,456466520.0,0.95,-11.35,-29.89,0.0602525,32961000.0,26,ZIL,12600000000.0,zilliqa
145,183890481254.0,372,1529852046.0,184470000000.0,Bytecoin,451806040.0,-0.61,-14.36,-41.72,0.00245693,7924690.0,27,BCN,183890481254.0,bytecoin-bcn
616,233020472.0,1700,1529852059.0,,Aeternity,409705915.0,0.14,-7.53,-32.34,1.75824,6755920.0,28,AE,273685830.0,aeternity
915,17084949.0,2083,1529852068.0,21000000.0,Bitcoin Gold,395605402.0,-0.66,-11.7,-29.88,23.1552,11310100.0,29,BTG,17184949.0,bitcoin-gold
