,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17101037.0,1,1529344474.0,21000000.0,Bitcoin,115598221830.0,1.32,3.27,-0.31,6759.72,3923880000.0,1,BTC,17101037.0,bitcoin
302,100155249.0,1027,1529344461.0,,Ethereum,52063002114.0,1.23,3.42,-0.92,519.823,1484440000.0,2,ETH,100155249.0,ethereum
26,39245304677.0,52,1529344442.0,100000000000.0,Ripple,21306315154.0,1.51,2.52,-6.63,0.542901,259361000.0,3,XRP,99991944394.0,ripple
755,17190538.0,1831,1529344464.0,21000000.0,Bitcoin Cash,15233394806.0,1.42,3.89,-4.87,886.15,367867000.0,4,BCH,17190538.0,bitcoin-cash
703,896149492.0,1765,1529344463.0,1000000000.0,EOS,9626527460.0,0.9,1.91,-3.23,10.7421,662082000.0,5,EOS,900000000.0,eos
1,57034746.0,2,1529344441.0,84000000.0,Litecoin,5610325410.0,0.97,1.58,-7.2,98.3668,276860000.0,6,LTC,57034746.0,litecoin
175,18608203393.0,512,1529344445.0,,Stellar,4425347106.0,1.5,2.62,-3.34,0.237817,35583500.0,7,XLM,104025824192.0,stellar
893,25927070538.0,2010,1529344468.0,45000000000.0,Cardano,4295830390.0,0.83,1.48,-4.08,0.165689,49430000.0,8,ADA,31112483745.0,cardano
668,2779530283.0,1720,1529344462.0,2779530283.0,IOTA,3323762312.0,2.82,1.35,-12.89,1.1958,79912500.0,9,MIOTA,2779530283.0,iota
847,65748111645.0,1958,1529344467.0,,TRON,2961880107.0,2.75,4.7,-4.25,0.0450489,155116000.0,10,TRX,100000000000.0,tron
244,2607140346.0,825,1529344449.0,,Tether,2619289620.0,0.19,0.13,0.17,1.00466,1986660000.0,11,USDT,2830109502.0,tether
449,65000000.0,1376,1529344455.0,100000000.0,NEO,2592759000.0,1.29,2.41,-9.74,39.8886,82776900.0,12,NEO,100000000.0,neo
70,8140501.0,131,1529344443.0,18900000.0,Dash,2165104606.0,1.83,-1.32,-0.07,265.967,138798000.0,13,DASH,8140501.0,dash
130,16143570.0,328,1529344445.0,,Monero,2069767142.0,0.57,3.09,-5.51,128.21,32972100.0,14,XMR,16143570.0,monero
763,114041290.0,1839,1529344463.0,,Binance Coin,1924321325.0,-0.36,-1.07,15.0,16.8739,112945000.0,15,BNB,194972068.0,binance-coin
257,8999999999.0,873,1529344448.0,,NEM,1795995000.0,0.73,1.37,-7.39,0.199555,10062500.0,16,XEM,8999999999.0,nem
809,547495525.0,1904,1529344466.0,,VeChain,1762054124.0,1.65,3.09,-0.17,3.21839,106079000.0,17,VEN,873378637.0,vechain
426,102387913.0,1321,1529344454.0,,Ethereum Classic,1561814986.0,4.22,6.22,20.41,15.2539,216194000.0,18,ETC,102387913.0,ethereum-classic
1388,151292175.0,2566,1529344483.0,,Ontology,1001555711.0,-0.7,6.97,0.6,6.62001,86161200.0,19,ONT,1000000000.0,ontology
737,102042552.0,1808,1529344464.0,,OmiseGO,976139050.0,2.3,4.54,0.96,9.566,19273600.0,20,OMG,140245398.0,omisego
639,88664516.0,1684,1529344461.0,,Qtum,961788337.0,1.2,1.26,-6.79,10.8475,151695000.0,21,QTUM,100664516.0,qtum
481,4166281.0,1437,1529344454.0,,Zcash,840897210.0,3.23,5.24,1.1,201.834,57841900.0,22,ZEC,4166281.0,zcash
968,387231340.0,2099,1529344472.0,,ICON,828059370.0,2.87,4.84,2.28,2.13841,45418200.0,23,ICX,400228740.0,icon
146,183890481254.0,372,1529344445.0,184470000000.0,Bytecoin,776234822.0,1.69,0.5,-11.63,0.00422118,9055040.0,24,BCN,183890481254.0,bytecoin-bcn
373,107078462.0,1214,1529344452.0,,Lisk,682236503.0,1.86,0.29,-10.54,6.37137,10285500.0,25,LSK,122325476.0,lisk
1292,7575893444.0,2469,1529344480.0,,Zilliqa,668038496.0,1.27,2.52,-11.99,0.0881795,18153300.0,26,ZIL,12600000000.0,zilliqa
353,7145743.0,1168,1529344451.0,21000000.0,Decred,666069703.0,0.8,1.84,-1.41,93.2121,6593160.0,27,DCR,7565743.0,decred
652,233020472.0,1700,1529344460.0,,Aeternity,622504870.0,2.55,2.85,-4.76,2.67146,7209250.0,28,AE,273685830.0,aeternity
