,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17118587.0,1,1530123275.0,21000000.0,Bitcoin,105200735736.0,0.06,-0.24,-9.15,6145.41,3436100000.0,1,BTC,17118587.0,bitcoin
295,100340476.0,1027,1530123262.0,,Ethereum,43772629413.0,0.01,-1.44,-18.46,436.241,1454310000.0,2,ETH,100340476.0,ethereum
26,39262084448.0,52,1530123257.0,100000000000.0,Ripple,18385727429.0,-0.29,-0.04,-13.17,0.468282,226693000.0,3,XRP,99991933044.0,ripple
715,17206763.0,1831,1530123259.0,21000000.0,Bitcoin Cash,12246070078.0,-0.02,-1.04,-19.93,711.701,355702000.0,4,BCH,17206763.0,bitcoin-cash
666,896149492.0,1765,1530123258.0,1000000000.0,EOS,7278651636.0,-0.28,4.72,-22.48,8.12214,774596000.0,5,EOS,900000000.0,eos
1,57161246.0,2,1530123242.0,84000000.0,Litecoin,4612158019.0,0.42,1.9,-17.66,80.6868,280041000.0,6,LTC,57161246.0,litecoin
172,18760232785.0,512,1530123246.0,,Stellar,3543807973.0,0.8,-1.28,-19.03,0.1889,37268000.0,7,XLM,104065507794.0,stellar
852,25927070538.0,2010,1530123262.0,45000000000.0,Cardano,3306297816.0,0.21,-1.61,-21.37,0.127523,39742200.0,8,ADA,31112483745.0,cardano
241,2707140346.0,825,1530123249.0,,Tether,2702624836.0,0.0,0.19,-0.33,0.998332,2198100000.0,9,USDT,3080109502.0,tether
632,2779530283.0,1720,1530123257.0,2779530283.0,IOTA,2697536919.0,0.4,-0.39,-16.46,0.970501,45132300.0,10,MIOTA,2779530283.0,iota
807,65748111645.0,1958,1530123260.0,,TRON,2549192360.0,-0.47,-2.05,-20.42,0.0387721,108819000.0,11,TRX,100000000000.0,tron
130,16172033.0,328,1530123244.0,,Monero,2077071239.0,0.42,1.92,5.08,128.436,44536700.0,12,XMR,16172033.0,monero
427,65000000.0,1376,1530123251.0,100000000.0,NEO,1976065000.0,0.6,-0.96,-22.21,30.401,54447000.0,13,NEO,100000000.0,neo
70,8157050.0,131,1530123243.0,18900000.0,Dash,1873160475.0,-0.01,-1.1,-12.08,229.637,149196000.0,14,DASH,8157050.0,dash
723,114041290.0,1839,1530123259.0,,Binance Coin,1599383477.0,-0.03,0.3,-12.51,14.0246,47997600.0,15,BNB,194972068.0,binance-coin
409,102609109.0,1321,1530123251.0,,Ethereum Classic,1574085298.0,0.32,-0.06,-5.62,15.3406,235104000.0,16,ETC,102609109.0,ethereum-classic
769,547499372.0,1904,1530123261.0,,VeChain,1412553856.0,0.35,-1.42,-18.36,2.58001,51105500.0,17,VEN,873378637.0,vechain
252,8999999999.0,873,1530123247.0,,NEM,1357884000.0,0.23,-2.13,-22.67,0.150876,10286000.0,18,XEM,8999999999.0,nem
1341,151292175.0,2566,1530123271.0,,Ontology,809458523.0,-0.27,0.58,-18.94,5.3503,78612600.0,19,ONT,1000000000.0,ontology
603,88664516.0,1684,1530123255.0,,Qtum,783579753.0,-0.01,0.53,-15.05,8.83758,134421000.0,20,QTUM,100664516.0,qtum
699,102042552.0,1808,1530123258.0,,OmiseGO,742656508.0,0.44,-1.44,-20.36,7.27791,18389600.0,21,OMG,140245398.0,omisego
457,4230894.0,1437,1530123252.0,,Zcash,690629941.0,0.72,-1.83,-16.23,163.235,38102100.0,22,ZEC,4230894.0,zcash
927,387431340.0,2099,1530123263.0,,ICON,582979560.0,0.94,-3.56,-27.97,1.50473,29705100.0,23,ICX,400228740.0,icon
361,107390492.0,1214,1530123250.0,,Lisk,568446870.0,0.29,-2.34,-16.69,5.29327,7064240.0,24,LSK,122636940.0,lisk
342,7145743.0,1168,1530123250.0,21000000.0,Decred,497191502.0,-0.62,-2.45,-23.73,69.5787,9145890.0,25,DCR,7565743.0,decred
1245,7575893444.0,2469,1530123269.0,,Zilliqa,485429160.0,-0.08,-2.33,-26.5,0.0640755,21008000.0,26,ZIL,12600000000.0,zilliqa
145,183890481254.0,372,1530123245.0,184470000000.0,Bytecoin,475272304.0,-0.41,-2.86,-31.58,0.00258454,3602680.0,27,BCN,183890481254.0,bytecoin-bcn
616,233020472.0,1700,1530123256.0,,Aeternity,435338167.0,0.5,1.64,-27.67,1.86824,5491080.0,28,AE,273685830.0,aeternity
915,17090786.0,2083,1530123263.0,21000000.0,Bitcoin Gold,414933523.0,0.3,-3.11,-23.82,24.2782,8471560.0,29,BTG,17190786.0,bitcoin-gold
743,1002499275.0,1866,1530123259.0,,Bytom,375927203.0,0.04,4.87,-27.98,0.37499,61521400.0,30,BTM,1407000000.0,bytom
301,35321641115.0,1042,1530123248.0,,Siacoin,354491522.0,0.36,-2.14,-21.15,0.0100361,7450850.0,31,SC,35321641115.0,siacoin
163,2636930000.0,463,1530123245.0,3600570502.0,BitShares,354379660.0,-0.06,-0.72,-16.68,0.134391,6211070.0,32,BTS,2636930000.0,bitshares
208,15054315539.0,693,1530123246.0,16555000000.0,Verge,337740558.0,1.59,-2.58,-22.83,0.0224348,4941990.0,33,XVG,15054315539.0,verge
762,532328308.0,1896,1530123260.0,,0x,335509498.0,0.29,-2.56,-27.99,0.630268,6850190.0,34,ZRX,1000000000.0,0x
367,265391557.0,1230,1530123251.0,,Steem,335040918.0,-0.27,-3.29,-21.94,1.26244,885670.0,35,STEEM,282365651.0,steem
319,11000000.0,1104,1530123249.0,,Augur,326124700.0,0.12,-3.35,-17.54,29.6477,2093220.0,36,REP,11000000.0,augur
1024,153756875.0,2222,1530123265.0,210000000.0,Bitcoin Diamond,315290773.0,6.12,2.25,-8.59,2.05058,844712.0,37,BCD,156756875.0,bitcoin-diamond
502,618228.0,1518,1530123253.0,,Maker,301995611.0,0.1,-1.38,-13.78,488.486,154233.0,38,MKR,1000000.0,maker
533,133248289.0,1567,1530123255.0,133248290.0,Nano,290667818.0,-0.67,-5.32,-21.66,2.1814,6511430.0,39,NANO,133248289.0,nano
387,100000000.0,1274,1530123251.0,,Waves,276512000.0,4.09,3.69,-23.37,2.76512,36014300.0,40,WAVES,100000000.0,waves
41,115045890744.0,74,1530123242.0,,Dogecoin,279810014.0,1.14,-2.85,-19.41,0.00243216,6209490.0,41,DOGE,115045890744.0,dogecoin
860,360627922.0,2021,1530123261.0,1000000000.0,RChain,268055455.0,0.36,-2.35,-25.59,0.743302,311832.0,42,RHOC,870663574.0,rchain
464,839242000.0,1455,1530123252.0,,Golem,251023157.0,0.16,-1.69,-19.26,0.299107,5561560.0,43,GNT,1000000000.0,golem-network-tokens
58,10448465171.0,109,1530123243.0,21000000000.0,DigiByte,236828046.0,1.21,9.37,-13.14,0.0226663,3238870.0,44,DGB,10448465171.0,digibyte
772,45500000.0,1908,1530123261.0,100000000.0,Nebulas,232494535.0,0.15,12.61,-6.51,5.10977,41654500.0,45,NAS,100000000.0,nebulas-token
416,98912008.0,1343,1530123251.0,,Stratis,227837876.0,-0.29,-4.01,-23.99,2.30344,2682400.0,46,STRAT,98912008.0,stratis
