,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17105750.0,1,1529550879.0,21000000.0,Bitcoin,116418655465.0,0.21,2.58,5.62,6805.82,3634380000.0,1,BTC,17105750.0,bitcoin
300,100204478.0,1027,1529550863.0,,Ethereum,54439089011.0,0.38,4.09,12.53,543.28,1504230000.0,2,ETH,100204478.0,ethereum
26,39245304677.0,52,1529550858.0,100000000000.0,Ripple,21409844268.0,0.03,2.95,0.58,0.545539,209485000.0,3,XRP,99991944394.0,ripple
731,17194913.0,1831,1529550863.0,21000000.0,Bitcoin Cash,15452397262.0,0.21,3.29,5.01,898.661,377391000.0,4,BCH,17194913.0,bitcoin-cash
682,896149492.0,1765,1529550861.0,1000000000.0,EOS,9612637143.0,1.44,4.45,4.97,10.7266,727164000.0,5,EOS,900000000.0,eos
1,57068253.0,2,1529550843.0,84000000.0,Litecoin,5628384953.0,0.3,2.13,3.53,98.6255,251791000.0,6,LTC,57068253.0,litecoin
174,18609197558.0,512,1529550845.0,,Stellar,4348541458.0,0.55,1.57,3.36,0.233677,40758200.0,7,XLM,104045664101.0,stellar
868,25927070538.0,2010,1529550867.0,45000000000.0,Cardano,4212293369.0,0.05,2.87,-2.4,0.162467,62999800.0,8,ADA,31112483745.0,cardano
823,65748111645.0,1958,1529550866.0,,TRON,3268792292.0,-0.04,8.38,18.2,0.0497169,324807000.0,9,TRX,100000000000.0,tron
647,2779530283.0,1720,1529550860.0,2779530283.0,IOTA,3264252569.0,0.57,4.19,-5.4,1.17439,56799700.0,10,MIOTA,2779530283.0,iota
243,2607140346.0,825,1529550849.0,,Tether,2610659985.0,0.18,-0.11,-0.15,1.00135,2008520000.0,11,USDT,2830109502.0,tether
436,65000000.0,1376,1529550853.0,100000000.0,NEO,2572823500.0,0.79,3.18,0.8,39.5819,68967500.0,12,NEO,100000000.0,neo
70,8144899.0,131,1529550843.0,18900000.0,Dash,2173498803.0,0.08,4.23,5.67,266.854,79643900.0,13,DASH,8144899.0,dash
130,16151188.0,328,1529550857.0,,Monero,1998871004.0,0.41,0.68,-1.26,123.76,26267500.0,14,XMR,16151188.0,monero
