,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17096350.0,1,1529140472.0,21000000.0,Bitcoin,111251420282.0,0.12,-1.64,-14.96,6507.32,3618410000.0,1,BTC,17096350.0,bitcoin
302,100106771.0,1027,1529140461.0,,Ethereum,49955380924.0,0.01,-0.72,-17.66,499.021,1625480000.0,2,ETH,100106771.0,ethereum
26,39245304677.0,52,1529140442.0,100000000000.0,Ripple,20879954164.0,-0.13,-3.44,-21.0,0.532037,228995000.0,3,XRP,99991944394.0,ripple
755,17186363.0,1831,1529140463.0,21000000.0,Bitcoin Cash,14623910224.0,-0.39,-1.81,-24.36,850.902,340035000.0,4,BCH,17186363.0,bitcoin-cash
703,896149492.0,1765,1529140462.0,1000000000.0,EOS,9590054175.0,0.1,-2.21,-26.55,10.7014,773375000.0,5,EOS,900000000.0,eos
1,57001471.0,2,1529140442.0,84000000.0,Litecoin,5503075896.0,0.1,-1.51,-19.67,96.5427,269344000.0,6,LTC,57001471.0,litecoin
175,18605187260.0,512,1529140445.0,,Stellar,4291025969.0,-0.67,-2.74,-20.07,0.230636,36472800.0,7,XLM,104025824192.0,stellar
893,25927070538.0,2010,1529140467.0,45000000000.0,Cardano,4232620192.0,-0.23,-2.66,-21.15,0.163251,55326400.0,8,ADA,31112483745.0,cardano
668,2779530283.0,1720,1529140461.0,2779530283.0,IOTA,3325430031.0,0.02,-6.58,-30.01,1.1964,61816200.0,9,MIOTA,2779530283.0,iota
847,65748111645.0,1958,1529140468.0,,TRON,2834078927.0,-0.0,-4.36,-26.37,0.0431051,165255000.0,10,TRX,100000000000.0,tron
244,2607140346.0,825,1529140448.0,,Tether,2617542836.0,-0.06,-0.04,0.15,1.00399,2126940000.0,11,USDT,2830109502.0,tether
449,65000000.0,1376,1529140455.0,100000000.0,NEO,2482259000.0,0.13,-3.88,-27.8,38.1886,65712900.0,12,NEO,100000000.0,neo
70,8136203.0,131,1529140443.0,18900000.0,Dash,2109750105.0,0.5,-3.09,-15.29,259.304,135491000.0,13,DASH,8136203.0,dash
130,16136068.0,328,1529140445.0,,Monero,2033725517.0,-0.93,-1.97,-20.81,126.036,38875000.0,14,XMR,16136068.0,monero
257,8999999999.0,873,1529140448.0,,NEM,1750014000.0,-0.15,-2.38,-24.08,0.194446,9290300.0,15,XEM,8999999999.0,nem
763,114041290.0,1839,1529140463.0,,Binance Coin,1747203798.0,-0.48,2.94,-7.56,15.3208,79638900.0,16,BNB,194972068.0,binance-coin
