,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17109900.0,1,1529737174.0,21000000.0,Bitcoin,104017070565.0,-0.69,-7.99,-6.43,6079.35,5172270000.0,1,BTC,17109900.0,bitcoin
295,100248683.0,1027,1529737161.0,,Ethereum,46543358512.0,-0.85,-8.99,-6.82,464.279,2269240000.0,2,ETH,100248683.0,ethereum
26,39245304677.0,52,1529737151.0,100000000000.0,Ripple,18953048950.0,-1.24,-7.48,-9.63,0.482938,347888000.0,3,XRP,99991944394.0,ripple
715,17198525.0,1831,1529737162.0,21000000.0,Bitcoin Cash,12821156417.0,-1.28,-11.45,-12.73,745.48,625175000.0,4,BCH,17198525.0,bitcoin-cash
666,896149492.0,1765,1529737161.0,1000000000.0,EOS,7416622812.0,-0.99,-15.93,-22.68,8.2761,1271420000.0,5,EOS,900000000.0,eos
1,57100003.0,2,1529737144.0,84000000.0,Litecoin,4730803741.0,-1.29,-10.72,-14.24,82.8512,432636000.0,6,LTC,57100003.0,litecoin
172,18759537511.0,512,1529737146.0,,Stellar,3706359345.0,-2.16,-10.72,-14.9,0.197572,40354000.0,7,XLM,104045664101.0,stellar
852,25927070538.0,2010,1529737167.0,45000000000.0,Cardano,3559164535.0,-1.36,-9.3,-16.05,0.137276,74937500.0,8,ADA,31112483745.0,cardano
807,65748111645.0,1958,1529737166.0,,TRON,2803078693.0,-1.74,-8.56,-1.15,0.0426336,238242000.0,9,TRX,100000000000.0,tron
632,2779530283.0,1720,1529737160.0,2779530283.0,IOTA,2711923768.0,-1.81,-12.72,-18.39,0.975677,87919000.0,10,MIOTA,2779530283.0,iota
241,2607140346.0,825,1529737150.0,,Tether,2616526051.0,-0.34,0.11,-0.03,1.0036,3839090000.0,11,USDT,2830109502.0,tether
427,65000000.0,1376,1529737153.0,100000000.0,NEO,2159969500.0,-0.54,-8.71,-13.4,33.2303,83670900.0,12,NEO,100000000.0,neo
70,8148877.0,131,1529737143.0,18900000.0,Dash,1981497140.0,-0.73,-4.44,-6.02,243.162,61826000.0,13,DASH,8148877.0,dash
130,16158025.0,328,1529737145.0,,Monero,1799842425.0,-1.16,-7.1,-11.26,111.39,39972900.0,14,XMR,16158025.0,monero
723,114041290.0,1839,1529737162.0,,Binance Coin,1767286469.0,-0.8,-6.12,0.54,15.4969,107072000.0,15,BNB,194972068.0,binance-coin
769,547497243.0,1904,1529737165.0,,VeChain,1512745833.0,-2.12,-10.89,-5.03,2.76302,58875300.0,16,VEN,873378637.0,vechain
409,102499865.0,1321,1529737153.0,,Ethereum Classic,1482066048.0,-0.69,-14.0,0.89,14.4592,444626000.0,17,ETC,102499865.0,ethereum-classic
252,8999999999.0,873,1529737148.0,,NEM,1463580000.0,-1.28,-11.16,-16.5,0.16262,22941500.0,18,XEM,8999999999.0,nem
699,102042552.0,1808,1529737162.0,,OmiseGO,843969455.0,-0.24,-6.69,-9.86,8.27076,29861800.0,19,OMG,140245398.0,omisego
603,88664516.0,1684,1529737160.0,,Qtum,775182337.0,-2.08,-12.85,-18.39,8.74287,83106600.0,20,QTUM,100664516.0,qtum
1341,151292175.0,2566,1529737182.0,,Ontology,763122269.0,-2.07,-15.33,-16.37,5.04403,85864300.0,21,ONT,1000000000.0,ontology
457,4198944.0,1437,1529737154.0,,Zcash,704070490.0,-0.34,-9.7,-13.15,167.678,47542500.0,22,ZEC,4198944.0,zcash
927,387431340.0,2099,1529737170.0,,ICON,669392246.0,-1.05,-10.08,-13.88,1.72777,42671200.0,23,ICX,400228740.0,icon
361,107236428.0,1214,1529737152.0,,Lisk,576886944.0,-0.5,-8.48,-18.19,5.37958,8056920.0,24,LSK,122482876.0,lisk
342,7145743.0,1168,1529737151.0,21000000.0,Decred,534067823.0,0.41,-15.09,-17.64,74.7393,12979200.0,25,DCR,7565743.0,decred
1245,7575893444.0,2469,1529737179.0,,Zilliqa,515774402.0,-1.54,-16.01,-21.84,0.068081,38115600.0,26,ZIL,12600000000.0,zilliqa
145,183890481254.0,372,1529737145.0,184470000000.0,Bytecoin,510542499.0,-2.03,-16.73,-33.92,0.00277634,13093700.0,27,BCN,183890481254.0,bytecoin-bcn
616,233020472.0,1700,1529737160.0,,Aeternity,455205492.0,-1.61,-15.96,-25.41,1.9535,9856920.0,28,AE,273685830.0,aeternity
915,17082449.0,2083,1529737169.0,21000000.0,Bitcoin Gold,437601086.0,-0.67,-15.48,-21.85,25.617,13878000.0,29,BTG,17182449.0,bitcoin-gold
743,1002499275.0,1866,1529737163.0,,Bytom,399335561.0,-1.32,-16.85,-30.94,0.39834,103216000.0,30,BTM,1407000000.0,bytom
301,35230995690.0,1042,1529737150.0,,Siacoin,389270794.0,-1.15,-9.64,-15.18,0.0110491,11721100.0,31,SC,35230995690.0,siacoin
762,532226817.0,1896,1529737164.0,,0x,374306073.0,-2.09,-12.61,-19.83,0.703283,11954700.0,32,ZRX,1000000000.0,0x
208,15054315539.0,693,1529737147.0,16555000000.0,Verge,363340422.0,-0.97,-11.23,-14.5,0.0241353,9362360.0,33,XVG,15054315539.0,verge
367,263027075.0,1230,1529737152.0,,Steem,353713550.0,-1.5,-10.03,-18.78,1.34478,1896230.0,34,STEEM,280001169.0,steem
163,2635680000.0,463,1529737156.0,3600570502.0,BitShares,351610255.0,-1.66,-13.03,-16.9,0.133404,16607800.0,35,BTS,2635680000.0,bitshares
319,11000000.0,1104,1529737150.0,,Augur,336485600.0,-0.8,-10.23,-7.01,30.5896,3765130.0,36,REP,11000000.0,augur
533,133248289.0,1567,1529737159.0,133248290.0,Nano,334259996.0,-1.76,-12.04,-6.44,2.50855,8341620.0,37,NANO,133248289.0,nano
502,618228.0,1518,1529737156.0,,Maker,323275629.0,-0.84,-6.93,-9.16,522.907,128436.0,38,MKR,1000000.0,maker
41,114976552300.0,74,1529737154.0,,Dogecoin,307803728.0,0.17,-8.29,-7.86,0.0026771,11091500.0,39,DOGE,114976552300.0,dogecoin
387,100000000.0,1274,1529737152.0,,Waves,287217000.0,-1.93,-16.56,-16.51,2.87217,20225400.0,40,WAVES,100000000.0,waves
1024,153756875.0,2222,1529737173.0,210000000.0,Bitcoin Diamond,283250915.0,-1.78,-20.57,-24.73,1.8422,1507870.0,41,BCD,156756875.0,bitcoin-diamond
860,360609817.0,2021,1529737167.0,1000000000.0,RChain,274909812.0,-4.76,-18.07,-25.81,0.762347,1235790.0,42,RHOC,870663574.0,rchain
1380,106152493.0,2606,1529737184.0,,Wanchain,263369642.0,-0.93,-12.84,-13.9,2.48105,5414970.0,43,WAN,210000000.0,wanchain
613,1000000000.0,1697,1529737160.0,,Basic Attention Token,259882000.0,-1.51,-8.99,5.43,0.259882,6509420.0,44,BAT,1500000000.0,basic-attention-token
464,839242000.0,1455,1529737155.0,,Golem,256821480.0,-1.64,-11.91,-21.11,0.306016,5629210.0,45,GNT,1000000000.0,golem-network-tokens
1349,20468566.0,2575,1529737182.0,21000000.0,Bitcoin Private,253687403.0,-2.06,-11.39,-17.78,12.394,339418.0,46,BTCP,20468566.0,bitcoin-private
416,98906270.0,1343,1529737153.0,,Stratis,241288770.0,-3.67,-15.11,-20.57,2.43957,3884600.0,47,STRAT,98906270.0,stratis
58,10428439320.0,109,1529737143.0,21000000000.0,DigiByte,222623194.0,-1.87,-13.96,-20.35,0.0213477,2756830.0,48,DGB,10428439320.0,digibyte
687,37004027.0,1789,1529737162.0,53252246.0,Populous,221571602.0,-0.99,-15.93,-27.68,5.98777,7775440.0,49,PPT,53252246.0,populous
916,90730576.0,2087,1529737169.0,,KuCoin Shares,215286418.0,-1.75,-11.81,-5.06,2.37281,1460600.0,50,KCS,180730576.0,kucoin-shares
662,3470483788.0,1759,1529737162.0,,Status,210950234.0,-1.8,-12.76,-19.88,0.0607841,8075570.0,51,SNT,6804870174.0,status
772,45500000.0,1908,1529737165.0,100000000.0,Nebulas,206037195.0,-0.49,-12.13,-17.52,4.52829,39021300.0,52,NAS,100000000.0,nebulas-token
1277,50000200.0,2502,1529737179.0,,Huobi Token,205972824.0,-2.81,-10.42,-5.28,4.11944,141643000.0,53,HT,500000000.0,huobi-token
784,31144099.0,1925,1529737165.0,100000000.0,Waltonchain,205515552.0,-0.73,-12.08,-22.26,6.59886,6198850.0,54,WTC,70000000.0,waltonchain
768,43143560.0,1903,1529737164.0,84000000.0,Hshare,204585898.0,-1.36,-10.14,-16.42,4.74198,25608100.0,55,HSR,43143560.0,hshare
366,2000000.0,1229,1529737152.0,,DigixDAO,200854000.0,-1.26,-8.92,-11.06,100.427,805234.0,56,DGD,2000000.0,digixdao
1187,8400000000.0,2405,1529737178.0,,IOST,193880400.0,-0.93,-17.12,-14.13,0.023081,43425300.0,57,IOST,21000000000.0,iostoken
897,167480575.0,2062,1529737168.0,,Aion,187414113.0,-2.21,-12.31,-24.31,1.11902,3393980.0,58,AION,465934587.0,aion
790,572074043.0,1934,1529737165.0,,Loopring,173434544.0,-1.04,-13.61,-17.72,0.303168,6359100.0,59,LRC,1374956262.0,loopring
865,45334747.0,2027,1529737167.0,210000000.0,Cryptonex,155177214.0,-3.81,-10.56,-8.32,3.42292,1212700.0,60,CNX,106772373.0,cryptonex
655,60000000.0,1750,1529737161.0,100000000.0,GXChain,169847400.0,0.25,-2.32,-14.65,2.83079,17948300.0,61,GXS,100000000.0,gxchain
504,104253991.0,1521,1529737157.0,,Komodo,168673574.0,-0.89,-6.19,-16.23,1.61791,1381060.0,61,KMD,104253991.0,komodo
638,50295402.0,1727,1529737161.0,,Bancor,153182193.0,-1.37,-9.52,-7.61,3.04565,8040980.0,63,BNT,75727904.0,bancor
62,28808713174.0,118,1529737143.0,,ReddCoin,152084942.0,-1.28,-8.54,3.41,0.00527913,2460400.0,64,RDD,28808713174.0,reddcoin
408,998999495.0,1320,1529737153.0,998999495.0,Ardor,147866910.0,-1.1,-11.54,-20.68,0.148015,1645740.0,65,ARDR,998999495.0,ardor
118,452552412.0,291,1529737145.0,,MaidSafeCoin,143691274.0,-0.97,-11.69,-2.68,0.317513,2551110.0,66,MAID,452552412.0,maidsafecoin
97,60359450.0,213,1529737144.0,,MonaCoin,140281397.0,-1.23,-9.78,-14.04,2.3241,1050220.0,67,MONA,60359450.0,monacoin
543,103380786.0,1586,1529737157.0,,Ark,140241205.0,-1.1,-10.64,-15.86,1.35655,511897.0,68,ARK,134630786.0,ark
1185,35897055.0,2403,1529737177.0,,MOAC,137069313.0,-3.37,-7.5,-10.71,3.8184,227229.0,68,MOAC,56483386.0,moac
1092,250000000.0,2299,1529737174.0,1000000000.0,aelf,128524250.0,-2.36,-17.22,-27.12,0.514097,16929000.0,70,ELF,280000000.0,aelf
1123,761444190.0,2336,1529737175.0,,Game.com,124416935.0,1.63,8.9,29.81,0.163396,72846100.0,72,GTC,2000000000.0,game
1359,788839397.0,2585,1529737182.0,,Centrality,125440452.0,-1.93,-12.8,56.18,0.159019,336523.0,73,CENNZ,1200000000.0,centrality
748,325226613094.0,1876,1529737164.0,8000000000000.0,Dentacoin,123987768.0,1.05,-8.98,-11.37,0.000381235,78005.2,73,DCN,1963173416169.0,dentacoin
660,5010848189.0,1757,1529737162.0,,FunFair,118062599.0,-1.91,-12.74,-7.03,0.0235614,4412310.0,74,FUN,10999873621.0,funfair
683,10128375.0,1785,1529737162.0,100000000.0,Gas,115399667.0,-0.93,-9.76,-14.69,11.3937,4696370.0,75,GAS,17190378.0,gas
1098,104342466.0,2307,1529737174.0,,Bibox Token,115088697.0,-1.15,-11.38,-12.71,1.10299,73568200.0,76,BIX,269944749.0,bibox-token
1382,306507021.0,2608,1529737183.0,,Mithril,113012510.0,-3.81,-13.68,-12.17,0.368711,26955900.0,77,MITH,1000000000.0,mithril
343,56556453.0,1169,1529737151.0,,PIVX,110752240.0,-0.84,-14.13,-26.96,1.95826,1414730.0,78,PIVX,56556453.0,pivx
624,2036645.0,1710,1529737160.0,,Veritaseum,110598198.0,-0.95,-8.5,-20.09,54.3041,836466.0,79,VERI,100000000.0,veritaseum
1268,5226102.0,2492,1529737179.0,,Elastos,110506444.0,-2.98,-16.87,-26.25,21.1451,10177400.0,80,ELA,33657463.0,elastos
1043,692459959.0,2246,1529737173.0,,CyberMiles,110363576.0,-2.63,-14.46,-26.19,0.159379,19076800.0,81,CMT,1000000000.0,cybermiles
827,134132697.0,1982,1529737165.0,,Kyber Network,107316352.0,-2.39,-14.17,-19.57,0.800076,4979620.0,82,KNC,215625349.0,kyber-network
182,41918672.0,558,1529737147.0,,Emercoin,106877943.0,-0.37,-5.88,-3.92,2.54965,1721950.0,83,EMC,41918672.0,emercoin
1365,19491575655.0,2591,1529737182.0,,Dropil,105936714.0,-2.54,-5.82,-6.88,0.005435,367114.0,84,DROP,30000000000.0,dropil
880,74836171.0,2044,1529737168.0,,Enigma,104942014.0,-1.06,-17.48,0.39,1.40229,4120580.0,85,ENG,150000000.0,enigma-project
837,756097560976.0,1993,1529737167.0,,Kin,103033415.0,-1.15,-3.59,-8.67,0.00013627,269542.0,87,KIN,10000000000000.0,kin
177,535702222.0,541,1529737146.0,888000000.0,Syscoin,103145713.0,-1.47,-9.63,-15.03,0.192543,948644.0,87,SYS,535702222.0,syscoin
1305,29684331.0,2530,1529737181.0,,Fusion,99239172.0,-2.73,-9.37,-27.68,3.34315,4659520.0,88,FSN,57344000.0,fusion
34,998999942.0,66,1529737143.0,1000000000.0,Nxt,99004790.0,0.08,-8.5,-13.76,0.0991039,3162290.0,90,NXT,998999942.0,nxt
1209,300056960.0,2428,1529737177.0,,Scry.info,98930880.0,-1.74,-4.55,-6.94,0.329707,1765580.0,90,DDD,1000000000.0,scryinfo
814,1050141509.0,1966,1529737166.0,,Decentraland,96876289.0,-0.25,-3.56,-6.7,0.0922507,8333510.0,91,MANA,2644403343.0,decentraland
707,76853089.0,1817,1529737163.0,,Ethos,96460618.0,0.69,-12.65,-25.63,1.25513,2730070.0,92,ETHOS,222295208.0,ethos
314,8745102.0,1087,1529737150.0,,Factom,91036512.0,-0.98,-9.66,-1.9,10.41,218435.0,93,FCT,8745102.0,factom
1409,149792458.0,2638,1529737184.0,,Cortex,90043242.0,-3.33,-19.19,-25.7,0.60112,18969500.0,94,CTXC,299792458.0,cortex
447,5028100.0,1414,1529737156.0,21400000.0,ZCoin,89592200.0,-1.49,-9.0,-8.52,17.8183,1045250.0,95,XZC,5028100.0,zcoin
1017,350000000.0,2213,1529737172.0,,QASH,88728850.0,-0.21,-17.49,-22.14,0.253511,2777160.0,96,QASH,1000000000.0,qash
1479,288865393.0,2711,1529737186.0,,Docademic,87726975.0,-1.21,3.3,18.51,0.303695,1612780.0,97,MTC,850000000.0,docademic
921,40000000.0,2092,1529737169.0,,Nuls,85910400.0,-0.96,-11.32,-16.48,2.14776,2245830.0,98,NULS,40000000.0,nuls
1362,603339190.0,2588,1529737182.0,,Loom Network,85567977.0,-3.01,-15.62,-36.5,0.141824,3082120.0,99,LOOM,1000000000.0,loom-network
1271,276420107.0,2496,1529737181.0,,Polymath,84404880.0,-3.41,-12.37,-23.48,0.30535,3924120.0,100,POLY,1000000000.0,polymath-network
1040,238421940.0,2243,1529737172.0,,Dragonchain,82940794.0,-1.13,-7.64,-12.75,0.347874,995982.0,101,DRGN,433494437.0,dragonchain
829,383021000.0,1984,1529737166.0,,Substratum,82174091.0,-1.88,-15.97,-19.92,0.214542,1363020.0,102,SUB,472000000.0,substratum
1198,663902689.0,2416,1529737177.0,,Theta Token,80920443.0,-2.19,-21.6,-25.0,0.121886,15215900.0,103,THETA,1000000000.0,theta-token
1379,629990099.0,2605,1529737184.0,,BnkToTheFuture,79676108.0,-0.16,-8.6,-11.87,0.126472,2386050.0,104,BFT,1000000000.0,bnktothefuture
1000,68428768.0,2191,1529737171.0,,Paypex,78237348.0,-2.08,-8.95,13.24,1.14334,15401.3,105,PAYX,150000000.0,paypex
952,373406633.0,2132,1529737170.0,,Power Ledger,77836613.0,-1.59,-14.8,-18.32,0.20845,1459990.0,106,POWR,1000000000.0,power-ledger
1090,4494161945.0,2297,1529737174.0,,Storm,77136447.0,-1.94,-16.65,-21.77,0.0171637,9007390.0,107,STORM,10000000000.0,storm
229,57926971.0,789,1529737147.0,,Nexus,77019701.0,-0.6,-12.27,-7.68,1.3296,1988000.0,108,NXS,57926971.0,nexus
213,5201669.0,707,1529737156.0,,Blocknet,76957131.0,-2.51,-10.26,-24.35,14.7947,55078.9,109,BLOCK,5201669.0,blocknet
675,15793831.0,1776,1529737161.0,,Monaco,75098561.0,-1.42,-7.13,-7.43,4.75493,7285140.0,110,MCO,31587682.0,monaco
956,7247257230.0,2137,1529737171.0,21000000000.0,Electroneum,74690233.0,-0.52,-10.01,-23.51,0.010306,906927.0,111,ETN,7247257230.0,electroneum
1338,72892045.0,2563,1529737182.0,,TrueUSD,73273999.0,0.06,0.35,-0.34,1.00524,27298100.0,112,TUSD,72892045.0,trueusd
485,645946.0,1492,1529737156.0,,Byteball Bytes,73217335.0,-0.28,-6.98,-10.77,113.349,120965.0,113,GBYTE,1000000.0,byteball
1093,638089318.0,2300,1529737174.0,,WAX,71601917.0,-1.03,-7.44,-9.25,0.112213,1523130.0,114,WAX,1850000000.0,wax
713,1049259215.0,1828,1529737163.0,5000000000.0,SmartCash,71533457.0,-2.85,-4.89,-4.89,0.0681752,1139320.0,115,SMART,1650303494.0,smartcash
614,4121225.0,1698,1529737161.0,21000000.0,ZenCash,70625845.0,-2.18,-3.95,-9.49,17.1371,1119120.0,116,ZEN,4121225.0,zencash
1415,660755177.0,2644,1529737184.0,,eosDAC,70123304.0,-1.54,-13.23,-24.73,0.106126,901537.0,117,EOSDAC,1200000000.0,eosdac
575,80070793.0,1637,1529737159.0,,iExec RLC,68978186.0,0.52,1.86,-20.41,0.861465,1230400.0,118,RLC,86999785.0,rlc
954,186450000.0,2135,1529737170.0,484450000.0,Revain,68423794.0,-0.69,-0.71,0.73,0.366982,4689800.0,119,R,484450000.0,revain
1132,175400000.0,2346,1529737176.0,,WaykiChain,68182190.0,-2.29,-25.42,-48.85,0.388724,11328500.0,120,WICC,210000000.0,waykichain
1084,533786482.0,2289,1529737174.0,,Gifto,66669398.0,-2.28,-16.91,-17.91,0.124899,4704330.0,121,GTO,1000000000.0,gifto
840,59120970.0,1996,1529737167.0,,SALT,66068275.0,-1.31,-13.47,-8.71,1.11751,2055950.0,122,SALT,120000000.0,salt
822,350000000.0,1975,1529737166.0,,ChainLink,64957550.0,-1.29,-10.21,-17.54,0.185593,1072630.0,123,LINK,1000000000.0,chainlink
1107,1500000000.0,2316,1529737175.0,10000000000.0,DeepBrain Chain,64396650.0,-0.52,-9.35,-21.15,0.0429311,877410.0,124,DBC,10000000000.0,deepbrain-chain
671,135787539.0,1772,1529737161.0,,Storj,64346048.0,-1.22,-11.98,-18.78,0.473873,1545640.0,125,STORJ,424999998.0,storj
164,1288862.0,467,1529737146.0,,BitcoinDark,63927178.0,-0.22,-9.55,-3.32,49.5997,212654.0,126,BTCD,1288862.0,bitcoindark
1250,150000000.0,2474,1529737179.0,1000000000.0,Matrix AI Network,63705600.0,-1.7,-8.0,-17.11,0.424704,5307430.0,127,MAN,250000000.0,matrix-ai-network
445,99156976.0,1408,1529737154.0,,Iconomi,63453028.0,-0.36,-10.63,-8.95,0.639925,309745.0,128,ICN,99156976.0,iconomi
960,677154514.0,2143,1529737171.0,,Streamr DATAcoin,60898334.0,-3.39,-13.73,33.23,0.0899327,6672090.0,129,DATA,987154514.0,streamr-datacoin
635,359600000.0,1723,1529737160.0,,SONM,58475635.0,-1.11,-10.9,16.78,0.162613,1065130.0,130,SNM,444000000.0,sonm
1465,560000010.0,2694,1529737186.0,,Nexo,58425361.0,-2.04,-11.61,-18.71,0.104331,606641.0,131,NEXO,1000000000.0,nexo
706,342699966.0,1816,1529737162.0,,Civic,58137678.0,-2.77,-10.29,-16.14,0.169646,6053760.0,132,CVC,1000000000.0,civic
558,93355331.0,1609,1529737158.0,,Asch,57958817.0,-0.23,-11.27,-12.86,0.620841,6113580.0,133,XAS,114855331.0,asch
1131,29702632.0,2345,1529737175.0,,High Performance Blockchain,57348357.0,-1.34,-7.05,-20.99,1.93075,724363.0,134,HPB,100000000.0,high-performance-blockchain
661,109200361.0,1758,1529737161.0,,TenX,57316430.0,-0.82,-10.48,-15.21,0.524874,3084080.0,135,PAY,205218256.0,tenx
779,532098876.0,1918,1529737165.0,1000000000.0,Achain,56763776.0,-4.14,-21.17,-22.87,0.106679,12068200.0,136,ACT,1000000000.0,achain
1319,4347245098.0,2544,1529737181.0,,Nucleus Vision,56627649.0,-1.07,-12.5,-11.88,0.0130261,3548090.0,137,NCASH,10000000000.0,nucleus-vision
1453,133214575156.0,2682,1529737186.0,,Holo,56374810.0,-1.61,-11.62,-31.32,0.000423188,1394150.0,138,HOT,177619433541.0,holo
905,697341700.0,2071,1529737169.0,,Request Network,56227777.0,-0.97,-9.14,-14.38,0.0806316,572316.0,139,REQ,999991464.0,request-network
1413,1023320190.0,2642,1529737184.0,,CyberVein,56196242.0,-1.56,-17.74,-7.23,0.0549156,4972580.0,140,CVT,2147483648.0,cybervein
1033,2361679677.0,2235,1529737173.0,,Time New Bank,56077612.0,-0.37,-3.14,-9.19,0.0237448,4528020.0,141,TNB,5541679677.0,time-new-bank
1205,539673260.0,2424,1529737178.0,,SingularityNET,55428222.0,-0.01,-8.32,-10.75,0.102707,2607280.0,142,AGI,1000000000.0,singularitynet
564,9000000.0,1619,1529737159.0,100000000.0,Skycoin,54459900.0,-1.04,-20.51,-46.71,6.0511,5564520.0,143,SKY,25000000.0,skycoin
600,28209823.0,1680,1529737159.0,,Aragon,53294279.0,-1.2,-13.14,-20.35,1.88921,190344.0,144,ANT,39609524.0,aragon
587,1104590.0,1659,1529737160.0,,Gnosis,52763834.0,-0.94,-9.31,-9.62,47.7678,569095.0,145,GNO,10000000.0,gnosis-gno
1176,498473628.0,2392,1529737178.0,,Bottos,51371695.0,-2.61,-10.77,-22.1,0.103058,1816190.0,146,BTO,1000000000.0,bottos
805,13251609.0,1955,1529737166.0,,Neblio,51219058.0,-0.54,-15.38,-20.85,3.86512,2768000.0,147,NEBL,13992108.0,neblio
698,62660371.0,1807,1529737163.0,,Santiment Network Token,51010617.0,-0.06,-13.32,-12.7,0.814081,2791490.0,148,SAN,83337000.0,santiment
1069,1017499234.0,2274,1529737175.0,,MediShares,50041935.0,-1.26,-5.57,-13.51,0.0491813,1133050.0,149,MDS,2000000000.0,medishares
1252,921800000.0,2476,1529737178.0,,Ruff,49945152.0,-1.51,-10.78,-19.12,0.0541822,2484990.0,150,RUFF,1840000000.0,ruff
879,1445976590.0,2043,1529737168.0,,Cindicator,49674646.0,-1.31,-5.12,-16.42,0.0343537,1033390.0,151,CND,2000000005.0,cindicator
1320,93196613.0,2545,1529737181.0,,Arcblock,48330925.0,-2.77,-10.09,-20.65,0.518591,12107700.0,152,ABT,186000000.0,arcblock
1471,18326892.0,2702,1529737186.0,22300000.0,Bitcoin Interest,47748150.0,-0.43,-19.55,-28.56,2.60536,92967.0,153,BCI,18326892.0,bitcoin-interest
185,64355352.0,576,1529737146.0,84000000.0,GameCredits,47160567.0,-0.53,-10.71,-25.52,0.732815,378605.0,154,GAME,64355352.0,gamecredits
1234,46448735.0,2457,1529737178.0,,True Chain,46814751.0,-0.52,-8.62,-32.31,1.00788,67562100.0,155,TRUE,100000000.0,true-chain
1230,450000000.0,2453,1529737179.0,,EDUCare,46395450.0,-0.6,-7.55,-8.62,0.103101,6130670.0,156,EKT,1000000000.0,educare
1095,103244553.0,2304,1529737175.0,,DEW,45883634.0,-1.93,-12.76,-11.31,0.444417,810.581,157,DEW,200000000.0,dew
756,10614760961.0,1886,1529737164.0,,Dent,45198926.0,-2.01,-16.46,-24.53,0.00425812,1389460.0,158,DENT,100000000000.0,dent
