,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17108912.0,1,1529685876.0,21000000.0,Bitcoin,105625803282.0,0.07,-8.25,-5.93,6173.73,4460560000.0,1,BTC,17108912.0,bitcoin
300,100236553.0,1027,1529685861.0,,Ethereum,47582692774.0,0.12,-10.12,-4.76,474.704,1919870000.0,2,ETH,100236553.0,ethereum
26,39245304677.0,52,1529685842.0,100000000000.0,Ripple,19549067392.0,0.35,-6.52,-8.92,0.498125,297159000.0,3,XRP,99991944394.0,ripple
731,17197713.0,1831,1529685863.0,21000000.0,Bitcoin Cash,13181754270.0,-0.11,-12.3,-11.48,766.483,506525000.0,4,BCH,17197713.0,bitcoin-cash
682,896149492.0,1765,1529685862.0,1000000000.0,EOS,7864814058.0,1.36,-15.61,-19.15,8.77623,1110860000.0,5,EOS,900000000.0,eos
1,57091303.0,2,1529685842.0,84000000.0,Litecoin,4894357450.0,0.69,-11.41,-12.62,85.7286,409241000.0,6,LTC,57091303.0,litecoin
174,18759491911.0,512,1529685848.0,,Stellar,3875035687.0,0.0,-9.56,-13.06,0.206564,38887300.0,7,XLM,104045664101.0,stellar
868,25927070538.0,2010,1529685867.0,45000000000.0,Cardano,3671765803.0,0.26,-10.95,-14.74,0.141619,70810500.0,8,ADA,31112483745.0,cardano
823,65748111645.0,1958,1529685866.0,,TRON,2854638362.0,0.28,-9.83,-1.48,0.0434178,224768000.0,9,TRX,100000000000.0,tron
647,2779530283.0,1720,1529685862.0,2779530283.0,IOTA,2791565649.0,-0.88,-12.68,-18.18,1.00433,65269800.0,10,MIOTA,2779530283.0,iota
243,2607140346.0,825,1529685850.0,,Tether,2607531417.0,-0.03,-0.13,-0.35,1.00015,3237460000.0,11,USDT,2830109502.0,tether
436,65000000.0,1376,1529685853.0,100000000.0,NEO,2199470000.0,-0.78,-10.79,-13.76,33.838,77401200.0,12,NEO,100000000.0,neo
70,8147769.0,131,1529685858.0,18900000.0,Dash,1929790997.0,0.45,-9.73,-9.02,236.849,51953500.0,13,DASH,8147769.0,dash
739,114041290.0,1839,1529685863.0,,Binance Coin,1822128925.0,-0.1,-4.55,4.51,15.9778,108641000.0,14,BNB,194972068.0,binance-coin
130,16156099.0,328,1529685846.0,,Monero,1820824706.0,1.38,-7.96,-10.93,112.702,36410000.0,15,XMR,16156099.0,monero
417,102485333.0,1321,1529685853.0,,Ethereum Classic,1577023807.0,1.18,-10.22,11.0,15.3878,473069000.0,16,ETC,102485333.0,ethereum-classic
785,547497243.0,1904,1529685865.0,,VeChain,1538483679.0,-1.21,-12.02,-3.73,2.81003,59110800.0,17,VEN,873378637.0,vechain
255,8999999999.0,873,1529685848.0,,NEM,1517589000.0,-0.22,-11.93,-14.31,0.168621,20730900.0,18,XEM,8999999999.0,nem
715,102042552.0,1808,1529685865.0,,OmiseGO,845070495.0,0.14,-7.72,-9.89,8.28155,24213600.0,19,OMG,140245398.0,omisego
1359,151292175.0,2566,1529685882.0,,Ontology,840285817.0,1.12,-12.09,-8.94,5.55406,87686500.0,20,ONT,1000000000.0,ontology
618,88664516.0,1684,1529685860.0,,Qtum,813160009.0,1.16,-11.05,-15.36,9.1712,82775600.0,21,QTUM,100664516.0,qtum
467,4194694.0,1437,1529685854.0,,Zcash,719226385.0,-0.9,-10.66,-13.34,171.461,45541200.0,22,ZEC,4194694.0,zcash
943,387431340.0,2099,1529685871.0,,ICON,704086723.0,0.79,-9.64,-15.34,1.81732,41410100.0,23,ICX,400228740.0,icon
368,107215792.0,1214,1529685852.0,,Lisk,578871999.0,0.35,-13.59,-18.94,5.39913,8861640.0,24,LSK,122462240.0,lisk
348,7145743.0,1168,1529685852.0,21000000.0,Decred,568916897.0,0.07,-12.2,-14.55,79.6162,12570800.0,25,DCR,7565743.0,decred
1263,7575893444.0,2469,1529685880.0,,Zilliqa,561247944.0,-0.13,-13.32,-17.15,0.0740834,34560800.0,26,ZIL,12600000000.0,zilliqa
146,183890481254.0,372,1529685844.0,184470000000.0,Bytecoin,526664177.0,1.33,-17.65,-34.45,0.00286401,12021700.0,27,BCN,183890481254.0,bytecoin-bcn
631,233020472.0,1700,1529685861.0,,Aeternity,488918894.0,0.35,-16.19,-20.68,2.09818,9877860.0,28,AE,273685830.0,aeternity
931,17081086.0,2083,1529685869.0,21000000.0,Bitcoin Gold,461623184.0,-2.26,-15.53,-19.03,27.0254,12237500.0,29,BTG,17181086.0,bitcoin-gold
759,1002499275.0,1866,1529685865.0,,Bytom,433167907.0,-1.11,-15.04,-23.32,0.432088,83865500.0,30,BTM,1407000000.0,bytom
306,35218970955.0,1042,1529685850.0,,Siacoin,401633623.0,0.77,-8.94,-15.67,0.0114039,11759300.0,31,SC,35218970955.0,siacoin
778,531692148.0,1896,1529685864.0,,0x,388944503.0,0.34,-15.07,-20.72,0.731522,11198400.0,32,ZRX,1000000000.0,0x
210,15054315539.0,693,1529685860.0,16555000000.0,Verge,374053073.0,-0.31,-12.99,-15.18,0.0248469,8220870.0,33,XVG,15054315539.0,verge
164,2635520000.0,463,1529685845.0,3600570502.0,BitShares,370306373.0,-0.45,-12.07,-12.37,0.140506,14036600.0,34,BTS,2635520000.0,bitshares
374,262811518.0,1230,1529685852.0,,Steem,362572142.0,-0.16,-11.79,-18.84,1.37959,1844520.0,35,STEEM,279785612.0,steem
547,133248289.0,1567,1529685858.0,133248290.0,Nano,344510787.0,1.55,-16.57,-5.58,2.58548,13889200.0,36,NANO,133248289.0,nano
324,11000000.0,1104,1529685850.0,,Augur,342042800.0,-1.59,-11.81,-6.25,31.0948,3072470.0,37,REP,11000000.0,augur
515,618228.0,1518,1529685856.0,,Maker,326692573.0,-0.27,-8.4,-12.0,528.434,130824.0,38,MKR,1000000.0,maker
1041,153756875.0,2222,1529685873.0,210000000.0,Bitcoin Diamond,317361878.0,0.17,-7.73,-16.22,2.06405,1197820.0,39,BCD,156756875.0,bitcoin-diamond
41,114976552300.0,74,1529685842.0,,Dogecoin,307578374.0,-0.33,-10.62,-8.48,0.00267514,6633930.0,40,DOGE,114976552300.0,dogecoin
876,360609817.0,2021,1529685866.0,1000000000.0,RChain,306216514.0,0.64,-14.3,-18.36,0.849163,840026.0,41,RHOC,870663574.0,rchain
394,100000000.0,1274,1529685853.0,,Waves,298783000.0,-1.79,-16.16,-14.96,2.98783,18400000.0,42,WAVES,100000000.0,waves
1398,106152493.0,2606,1529685884.0,,Wanchain,270189940.0,0.07,-14.79,-14.36,2.5453,5497660.0,43,WAN,210000000.0,wanchain
1367,20468028.0,2575,1529685882.0,21000000.0,Bitcoin Private,267615374.0,0.32,-12.04,-16.39,13.0748,242029.0,44,BTCP,20468028.0,bitcoin-private
475,839242000.0,1455,1529685854.0,,Golem,265866830.0,0.14,-12.62,-18.54,0.316794,5355740.0,45,GNT,1000000000.0,golem-network-tokens
628,1000000000.0,1697,1529685860.0,,Basic Attention Token,262737000.0,-1.02,-7.78,11.24,0.262737,8379200.0,46,BAT,1500000000.0,basic-attention-token
424,98905498.0,1343,1529685853.0,,Stratis,260705992.0,-0.03,-11.84,-15.4,2.63591,3471130.0,47,STRAT,98905498.0,stratis
703,37004027.0,1789,1529685862.0,53252246.0,Populous,239795715.0,-0.68,-14.01,-23.81,6.48026,6438200.0,48,PPT,53252246.0,populous
58,10425735164.0,109,1529685843.0,21000000000.0,DigiByte,228150533.0,-2.61,-15.54,-21.13,0.0218834,2167510.0,49,DGB,10425735164.0,digibyte
1295,50000200.0,2502,1529685880.0,,Huobi Token,224631899.0,1.23,-8.0,1.99,4.49262,125474000.0,50,HT,500000000.0,huobi-token
800,31144099.0,1925,1529685866.0,100000000.0,Waltonchain,224582904.0,3.45,-9.7,-17.01,7.21109,5283730.0,51,WTC,70000000.0,waltonchain
932,90730576.0,2087,1529685869.0,,KuCoin Shares,221203866.0,-1.28,-11.28,-2.69,2.43803,1530170.0,52,KCS,180730576.0,kucoin-shares
678,3470483788.0,1759,1529685862.0,,Status,218432250.0,-0.96,-12.31,-17.75,0.06294,7037020.0,53,SNT,6804870174.0,status
788,45500000.0,1908,1529685865.0,100000000.0,Nebulas,213764005.0,-0.86,-12.62,-15.93,4.69811,33545200.0,54,NAS,100000000.0,nebulas-token
784,43141147.0,1903,1529685866.0,84000000.0,Hshare,212358847.0,-0.94,-11.94,-14.55,4.92242,24869900.0,55,HSR,43141147.0,hshare
1205,8400000000.0,2405,1529685878.0,,IOST,212320080.0,1.58,-16.27,-7.19,0.0252762,41048200.0,56,IOST,21000000000.0,iostoken
373,2000000.0,1229,1529685852.0,,DigixDAO,203468000.0,1.12,-9.9,-10.97,101.734,675530.0,57,DGD,2000000.0,digixdao
913,167480575.0,2062,1529685868.0,,Aion,189882777.0,-0.65,-16.04,-24.06,1.13376,2912380.0,58,AION,465934587.0,aion
806,572074043.0,1934,1529685866.0,,Loopring,177611828.0,1.41,-15.45,-15.81,0.31047,5662460.0,59,LRC,1374956262.0,loopring
670,60000000.0,1750,1529685861.0,100000000.0,GXChain,168595200.0,0.05,-6.18,-15.1,2.80992,21518600.0,60,GXS,100000000.0,gxchain
517,104253979.0,1521,1529685856.0,,Komodo,165092430.0,-0.2,-12.03,-19.89,1.58356,516416.0,61,KMD,104253979.0,komodo
881,45333907.0,2027,1529685869.0,210000000.0,Cryptonex,159253483.0,-1.92,-10.0,-7.31,3.5129,1229830.0,62,CNX,106771533.0,cryptonex
653,50319891.0,1727,1529685861.0,,Bancor,157550070.0,-0.36,-10.5,-5.67,3.13097,7234400.0,63,BNT,75752393.0,bancor
62,28808713174.0,118,1529685843.0,,ReddCoin,155993132.0,1.2,-10.55,5.1,0.00541479,2845640.0,64,RDD,28808713174.0,reddcoin
416,998999495.0,1320,1529685852.0,998999495.0,Ardor,152646124.0,1.38,-11.99,-19.52,0.152799,1292140.0,65,ARDR,998999495.0,ardor
557,103367916.0,1586,1529685858.0,,Ark,147050164.0,0.73,-8.3,-15.04,1.42259,404984.0,66,ARK,134617916.0,ark
97,60345650.0,213,1529685843.0,,MonaCoin,143999204.0,0.14,-9.31,-12.74,2.38624,852507.0,67,MONA,60345650.0,monacoin
1141,761444190.0,2336,1529685877.0,,Game.com,144498502.0,-1.86,50.53,47.62,0.189769,51618900.0,68,GTC,2000000000.0,game
118,452552412.0,291,1529685844.0,,MaidSafeCoin,144608145.0,-2.0,-13.47,-2.94,0.319539,2689830.0,69,MAID,452552412.0,maidsafecoin
1203,35897055.0,2403,1529685878.0,,MOAC,137594846.0,-0.95,-9.51,-10.07,3.83304,236479.0,70,MOAC,56483386.0,moac
1109,250000000.0,2299,1529685875.0,1000000000.0,aelf,134760750.0,-2.12,-18.49,-23.27,0.539043,15611600.0,71,ELF,280000000.0,aelf
676,5010848189.0,1757,1529685861.0,,FunFair,129702298.0,1.93,6.33,1.0,0.0258843,10710100.0,72,FUN,10999873621.0,funfair
764,325226613094.0,1876,1529685863.0,8000000000000.0,Dentacoin,126976926.0,2.03,-12.47,-11.86,0.000390426,86729.1,73,DCN,1963173416169.0,dentacoin
1400,306507021.0,2608,1529685883.0,,Mithril,120438256.0,1.61,-10.68,-4.16,0.392938,31347700.0,74,MITH,1000000000.0,mithril
1115,104342466.0,2307,1529685876.0,,Bibox Token,119544120.0,-0.95,-17.0,-16.26,1.14569,54345400.0,75,BIX,269944749.0,bibox-token
1377,788445172.0,2585,1529685883.0,,Centrality,118895955.0,4.87,-4.51,38.62,0.150798,438649.0,76,CENNZ,1200000000.0,centrality
1286,5226102.0,2492,1529685880.0,,Elastos,118433403.0,-1.14,-15.36,-21.94,22.6619,10281000.0,77,ELA,33655047.0,elastos
699,10128375.0,1785,1529685864.0,100000000.0,Gas,116898667.0,-0.1,-11.97,-14.88,11.5417,3813130.0,78,GAS,17190378.0,gas
349,56551971.0,1169,1529685851.0,,PIVX,114740555.0,-1.09,-16.34,-25.93,2.02894,1426800.0,79,PIVX,56551971.0,pivx
843,134132697.0,1982,1529685866.0,,Kyber Network,114447785.0,0.16,-11.28,-15.96,0.853243,5184230.0,80,KNC,215625349.0,kyber-network
1060,692459959.0,2246,1529685873.0,,CyberMiles,113985834.0,0.47,-18.65,-23.42,0.16461,18622400.0,81,CMT,1000000000.0,cybermiles
639,2036645.0,1710,1529685863.0,,Veritaseum,111704503.0,-0.46,-10.12,-19.5,54.8473,935999.0,82,VERI,100000000.0,veritaseum
896,74836171.0,2044,1529685867.0,,Enigma,110088498.0,1.63,-12.57,2.29,1.47106,4734750.0,83,ENG,150000000.0,enigma-project
184,41914360.0,558,1529685846.0,,Emercoin,108205274.0,0.29,-5.57,2.43,2.58158,1731530.0,84,EMC,41914360.0,emercoin
853,756097560976.0,1993,1529685866.0,,Kin,104332390.0,-0.06,-4.53,-3.84,0.000137988,284414.0,86,KIN,10000000000000.0,kin
179,535673705.0,541,1529685846.0,888000000.0,Syscoin,105564146.0,-0.83,-10.62,-16.98,0.197068,828489.0,86,SYS,535673705.0,syscoin
723,76853089.0,1817,1529685863.0,,Ethos,103442721.0,-0.81,-10.15,-22.44,1.34598,2392030.0,87,ETHOS,222295208.0,ethos
34,998999942.0,66,1529685843.0,1000000000.0,Nxt,100602291.0,0.39,-9.71,-13.79,0.100703,3267540.0,89,NXT,998999942.0,nxt
1383,19490220613.0,2591,1529685883.0,,Dropil,100249704.0,-2.2,-13.52,-10.73,0.00514359,347841.0,89,DROP,30000000000.0,dropil
830,1050141509.0,1966,1529685867.0,,Decentraland,99344857.0,-0.32,-6.92,-3.7,0.0946014,8287950.0,90,MANA,2644403343.0,decentraland
