,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17101950.0,1,1529380476.0,21000000.0,Bitcoin,114865418195.0,-0.25,3.78,-2.23,6716.51,3965170000.0,1,BTC,17101950.0,bitcoin
302,100163867.0,1027,1529380459.0,,Ethereum,51759578108.0,-0.26,3.93,-2.79,516.749,1493500000.0,2,ETH,100163867.0,ethereum
26,39245304677.0,52,1529380443.0,100000000000.0,Ripple,21052123316.0,-0.48,2.32,-9.86,0.536424,278787000.0,3,XRP,99991944394.0,ripple
754,17191175.0,1831,1529380464.0,21000000.0,Bitcoin Cash,15157201130.0,-0.17,4.8,-7.09,881.685,372100000.0,4,BCH,17191175.0,bitcoin-cash
702,896149492.0,1765,1529380463.0,1000000000.0,EOS,9474809351.0,-0.11,2.67,-6.75,10.5728,690139000.0,5,EOS,900000000.0,eos
1,57041146.0,2,1529380456.0,84000000.0,Litecoin,5592547780.0,-0.37,2.96,-8.37,98.0441,277545000.0,6,LTC,57041146.0,litecoin
175,18608617746.0,512,1529380446.0,,Stellar,4350415700.0,-0.04,2.16,-7.17,0.233785,35150100.0,7,XLM,104045664101.0,stellar
892,25927070538.0,2010,1529380468.0,45000000000.0,Cardano,4231453474.0,-0.49,2.38,-8.61,0.163206,53848900.0,8,ADA,31112483745.0,cardano
667,2779530283.0,1720,1529380462.0,2779530283.0,IOTA,3245796488.0,-0.81,0.5,-17.39,1.16775,76100300.0,9,MIOTA,2779530283.0,iota
846,65748111645.0,1958,1529380467.0,,TRON,2970795551.0,0.39,7.11,-5.77,0.0451845,177815000.0,10,TRX,100000000000.0,tron
244,2607140346.0,825,1529380450.0,,Tether,2616447837.0,-0.16,-0.11,0.02,1.00357,2037420000.0,11,USDT,2830109502.0,tether
