,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17116900.0,1,1530031475.0,21000000.0,Bitcoin,105315835306.0,0.37,-2.42,-8.95,6152.74,4245460000.0,1,BTC,17116900.0,bitcoin
295,100318671.0,1027,1530031462.0,,Ethereum,44618032875.0,1.51,-4.07,-16.84,444.763,2366430000.0,2,ETH,100318671.0,ethereum
26,39262084448.0,52,1530031441.0,100000000000.0,Ripple,18416234069.0,-0.24,-3.12,-14.19,0.469059,168755000.0,3,XRP,99991933044.0,ripple
715,17204738.0,1831,1530031454.0,21000000.0,Bitcoin Cash,12380787176.0,-0.21,-5.47,-19.86,719.615,337683000.0,4,BCH,17204738.0,bitcoin-cash
666,896149492.0,1765,1530031454.0,1000000000.0,EOS,6905503949.0,0.09,-7.48,-27.69,7.70575,596258000.0,5,EOS,900000000.0,eos
1,57147771.0,2,1530031442.0,84000000.0,Litecoin,4514536750.0,0.61,-4.9,-20.17,78.9976,266298000.0,6,LTC,57147771.0,litecoin
172,18760161485.0,512,1530031444.0,,Stellar,3581783832.0,-0.62,-3.66,-19.26,0.190925,27514500.0,7,XLM,104065507794.0,stellar
852,25927070538.0,2010,1530031457.0,45000000000.0,Cardano,3349129337.0,0.69,-5.43,-22.05,0.129175,32007200.0,8,ADA,31112483745.0,cardano
632,2779530283.0,1720,1530031452.0,2779530283.0,IOTA,2705233439.0,0.18,-5.73,-18.49,0.97327,40026100.0,9,MIOTA,2779530283.0,iota
241,2707140346.0,825,1530031455.0,,Tether,2695729749.0,-0.12,-0.5,-0.56,0.995785,1883380000.0,10,USDT,3080109502.0,tether
807,65748111645.0,1958,1530031456.0,,TRON,2614802400.0,0.37,-6.6,-18.46,0.03977,87378000.0,11,TRX,100000000000.0,tron
130,16168908.0,328,1530031444.0,,Monero,2082717018.0,-0.1,-0.18,1.72,128.81,30581200.0,12,XMR,16168908.0,monero
427,65000000.0,1376,1530031449.0,100000000.0,NEO,2006569500.0,1.53,-4.35,-22.69,30.8703,50335800.0,13,NEO,100000000.0,neo
70,8155089.0,131,1530031442.0,18900000.0,Dash,1895047057.0,0.08,-4.62,-11.56,232.376,176437000.0,14,DASH,8155089.0,dash
