,circulating_supply,id,last_updated,max_supply,name,quotes.USD.market_cap,quotes.USD.percent_change_1h,quotes.USD.percent_change_24h,quotes.USD.percent_change_7d,quotes.USD.price,quotes.USD.volume_24h,rank,symbol,total_supply,website_slug
0,17103025.0,1,1529434174.0,21000000.0,Bitcoin,115262587413.0,0.07,-0.17,0.82,6739.31,4061810000.0,1,BTC,17103025.0,bitcoin
302,100176651.0,1027,1529434161.0,,Ethereum,53393453962.0,0.06,2.64,4.43,532.993,1682060000.0,2,ETH,100176651.0,ethereum
26,39245304677.0,52,1529434142.0,100000000000.0,Ripple,21297170998.0,-0.24,-0.09,-4.88,0.542668,262284000.0,3,XRP,99991944394.0,ripple
754,17192538.0,1831,1529434165.0,21000000.0,Bitcoin Cash,15356924656.0,0.08,0.42,-0.28,893.232,402034000.0,4,BCH,17192538.0,bitcoin-cash
702,896149492.0,1765,1529434161.0,1000000000.0,EOS,9482964311.0,-0.06,-1.41,0.37,10.5819,723091000.0,5,EOS,900000000.0,eos
1,57049646.0,2,1529434142.0,84000000.0,Litecoin,5625808173.0,0.27,-0.17,-4.27,98.6125,285756000.0,6,LTC,57049646.0,litecoin
175,18608766596.0,512,1529434145.0,,Stellar,4377730950.0,-0.07,-1.17,-0.97,0.235251,33151000.0,7,XLM,104045664101.0,stellar
892,25927070538.0,2010,1529434168.0,45000000000.0,Cardano,4271225600.0,-0.34,-0.81,-2.46,0.16474,73906600.0,8,ADA,31112483745.0,cardano
667,2779530283.0,1720,1529434162.0,2779530283.0,IOTA,3274286673.0,-0.07,-1.34,-10.47,1.178,67973500.0,9,MIOTA,2779530283.0,iota
846,65748111645.0,1958,1529434166.0,,TRON,3160597199.0,-0.31,6.48,6.35,0.0480713,348988000.0,10,TRX,100000000000.0,tron
244,2607140346.0,825,1529434149.0,,Tether,2613423554.0,0.08,-0.13,-0.28,1.00241,2289830000.0,11,USDT,2830109502.0,tether
448,65000000.0,1376,1529434154.0,100000000.0,NEO,2580838000.0,0.0,-0.53,-7.43,39.7052,78815700.0,12,NEO,100000000.0,neo
70,8142435.0,131,1529434157.0,18900000.0,Dash,2120884385.0,-0.1,-2.13,-3.15,260.473,141920000.0,13,DASH,8142435.0,dash
130,16146889.0,328,1529434162.0,,Monero,2019943486.0,-0.11,-1.81,-2.31,125.098,34081400.0,14,XMR,16146889.0,monero
